number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
85,-0.9498391119716277,-0.21292452356332603,2024-01-16 16:33:40.030259,2024-01-16 16:33:40.157446,0 days 00:00:00.127187,2.4342710233214,24,2.2803473870282005,25,1,COMPLETE
86,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:40.159444,2024-01-16 16:33:40.321292,0 days 00:00:00.161848,2.4054522148934727,23,2.2016890761454717,23,1,COMPLETE
87,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:40.322290,2024-01-16 16:33:40.468060,0 days 00:00:00.145770,2.4537216276638296,19,2.1280658107319965,25,1,COMPLETE
88,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:40.468060,2024-01-16 16:33:40.592340,0 days 00:00:00.124280,2.4700553051010004,23,2.0787958836193448,22,1,COMPLETE
89,-0.4447568921379218,-0.12613818848760844,2024-01-16 16:33:40.592340,2024-01-16 16:33:40.751470,0 days 00:00:00.159130,2.4054522148934727,19,2.2016890761454717,21,1,COMPLETE
90,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:40.752433,2024-01-16 16:33:40.880214,0 days 00:00:00.127781,2.436836969099173,19,2.034983496114655,23,1,COMPLETE
91,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:40.881658,2024-01-16 16:33:41.004914,0 days 00:00:00.123256,2.4251100147804827,23,2.012683381337595,21,1,COMPLETE
92,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:41.005880,2024-01-16 16:33:41.143102,0 days 00:00:00.137222,2.4861382777043994,19,2.0673560498215564,21,1,COMPLETE
93,-0.5645651613039604,-0.20826034954064937,2024-01-16 16:33:41.144107,2024-01-16 16:33:41.265329,0 days 00:00:00.121222,2.3288364154327597,21,2.2199988568956224,22,1,COMPLETE
94,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:41.266836,2024-01-16 16:33:41.368084,0 days 00:00:00.101248,2.4278971351616794,22,2.0919495412499574,21,1,COMPLETE
