,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
1124,2020-08-21,6558000,1738870000,266.0,270.0,260.5,266.0,6.0,5260
1125,2020-08-24,6222000,1685174000,267.0,276.0,266.0,275.0,9.0,4633
1126,2020-08-25,6705000,1845603000,277.5,280.0,272.0,280.0,5.0,4607
1127,2020-08-26,11486000,3298427000,284.5,292.0,280.5,290.5,10.5,8796
1128,2020-08-27,9905000,2911287000,291.0,297.0,291.0,296.0,5.5,7299
1129,2020-08-28,5624000,1637850000,292.5,295.0,289.0,291.0,-5.0,3790
1130,2020-08-31,4491000,1308300000,294.0,297.0,285.5,286.0,-5.0,3129
1131,2020-09-01,3642000,1051138000,288.5,293.0,285.0,288.5,2.5,2942
1132,2020-09-02,2766000,802308000,291.5,293.5,287.0,291.0,2.5,2179
1133,2020-09-03,4985000,1448304000,294.5,295.5,286.0,287.5,-3.5,3656
1134,2020-09-04,5982000,1723292000,280.0,293.5,278.0,292.0,4.5,4321
1135,2020-09-07,4277000,1232797000,293.5,294.5,284.0,285.5,-6.5,3380
1136,2020-09-08,1797000,515319000,287.0,289.5,285.5,287.0,1.5,1373
1137,2020-09-09,2614000,747097000,283.5,289.0,281.0,287.5,0.5,2063
1138,2020-09-10,6620000,1934595000,290.5,295.5,289.0,289.5,2.0,4487
1139,2020-09-11,5283000,1547470000,290.0,295.0,288.0,295.0,5.5,4073
1140,2020-09-14,5095000,1520456000,296.5,301.0,296.0,297.0,2.0,4217
1141,2020-09-15,4260000,1280248000,299.5,302.5,298.0,298.5,1.5,3386
1142,2020-09-16,4608000,1396647000,303.5,305.0,301.0,303.0,4.5,3343
1143,2020-09-17,4109000,1240621000,304.5,305.5,298.5,299.5,-3.5,2929
1144,2020-09-18,2449000,738305000,299.5,303.0,298.0,302.5,3.0,1885
1145,2020-09-21,3257000,986750000,303.5,306.0,297.5,299.0,-3.5,2409
1146,2020-09-22,4093000,1209675000,299.5,301.0,292.0,292.5,-6.5,3013
1147,2020-09-23,2450000,721844000,295.5,298.0,292.0,297.5,5.0,1893
1148,2020-09-24,3840000,1109051000,293.0,293.5,286.5,287.0,-10.5,3267
1149,2020-09-25,3791000,1068717000,289.0,290.5,275.5,278.0,-9.0,3013
1150,2020-09-28,1851000,525035000,281.0,287.0,279.0,284.0,6.0,1488
1151,2020-09-29,2340000,672711000,286.5,290.5,283.0,288.5,4.5,1748
1152,2020-09-30,1680000,482821000,288.5,291.0,286.0,286.5,-2.0,1215
1153,2020-10-05,1461000,421986000,289.5,291.0,287.0,288.5,2.0,1163
1154,2020-10-06,2458000,717609000,293.0,294.5,288.5,288.5,0.0,1984
1155,2020-10-07,2672000,767213000,288.5,290.5,285.0,285.0,-3.5,2040
1156,2020-10-08,2521000,729037000,290.0,291.5,286.0,289.5,4.5,2018
1157,2020-10-12,16092000,4913517000,292.5,312.5,292.5,310.0,20.5,11320
1158,2020-10-13,13297000,4177142000,311.0,318.0,307.5,317.5,7.5,10111
1159,2020-10-14,9779000,3113322000,318.5,323.0,314.0,314.5,-3.0,6874
1160,2020-10-15,4258000,1334932000,315.0,318.0,309.0,313.5,-1.0,3484
1161,2020-10-16,4198000,1308403000,315.5,317.0,306.0,309.0,-4.5,3195
1162,2020-10-19,2805000,868207000,313.0,313.5,307.0,310.0,1.0,2188
1163,2020-10-20,8160000,2579450000,312.5,320.0,311.0,315.5,5.5,6035
1164,2020-10-21,4680000,1484111000,317.0,319.0,314.5,314.5,-1.0,3242
1165,2020-10-22,4004000,1244264000,314.0,316.0,308.5,310.0,-4.5,3108
1166,2020-10-23,3668000,1143397000,312.0,315.0,308.0,312.0,2.0,2657
1167,2020-10-26,2294000,718671000,314.5,317.0,310.0,310.5,-1.5,1948
1168,2020-10-27,3175000,993280000,309.5,315.0,308.0,314.5,4.0,2287
1169,2020-10-28,7440000,2364482000,316.5,322.5,311.5,319.5,5.0,5112
1170,2020-10-29,8750000,2708980000,308.0,313.5,305.5,309.5,-10.0,6443
